CustomerID,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,CustomerCareCalls,ReceivedCalls,OutboundCalls,InboundCalls,MonthsInService,UniqueSubs,ActiveSubs,HasCreditCard,RetentionCalls,RetentionOffersAccepted,IncomeGroup,AdjustmentsToCreditRating,CreditRating,PrizmCode,Occupation
3000006,,57.49,483,37,0.25,1.7,55.3,46.3,6.3,56,1,1,Yes,0,0,5,1,5-Low,Other,Other
3000018,,55.23,570,72,0,8.7,106.3,14.7,0.7,57,1,1,Yes,0,0,6,2,1-Highest,Other,Professional
3000034,,97.34,1039,50,4.95,11.3,213.9,103.3,0.3,55,1,1,No,0,0,4,3,3-Good,Suburban,Crafts
3000070,,35.59,153,30,0,0,33.1,8,4.7,59,3,2,Yes,0,0,4,1,1-Highest,Other,Other
3000074,,55.27,1213,50,0.74,4.3,490.1,50.7,8.3,52,1,1,Yes,0,0,3,0,1-Highest,Suburban,Other
3000086,,60.19,1424,56,0.25,0.3,939.3,7.7,39,54,1,1,Yes,1,0,5,1,5-Low,Suburban,Other
3000098,,25.49,300,25,0,1,77.5,6.3,5,52,2,2,No,0,0,6,3,3-Good,Other,Other
3000110,,37.66,972,36,0.25,0,244.6,20,8,58,1,1,Yes,1,1,1,2,1-Highest,Other,Other
3000246,,42.88,406,40,0,0,47.7,6.3,4.3,50,1,1,Yes,0,0,5,0,4-Medium,Other,Professional
3000254,,342.86,2961,140,11.14,0,871.5,210.7,96.3,52,2,2,No,0,0,0,0,1-Highest,Town,Other
3000258,,54.96,244,52,2.97,0,48.8,13,1,54,1,1,Yes,0,0,6,0,1-Highest,Other,Professional
3000274,,50.48,380,60,0.5,0,76.2,21.7,4.7,56,1,1,Yes,0,0,6,0,1-Highest,Suburban,Professional
3000334,,55.19,1088,70,0,3.7,335.1,11,6,54,2,2,Yes,0,0,7,1,1-Highest,Town,Professional
3000338,,93.02,1348,75,0,0,436.5,59.3,23,56,1,1,Yes,0,0,7,0,1-Highest,Town,Other
3000342,,97.59,1804,75,1.49,0,742.4,133,31.7,50,1,1,Yes,0,0,4,0,3-Good,Other,Other
3000366,,40.71,365,35,0.5,3.3,99.9,9.3,2,50,1,1,Yes,0,0,5,2,3-Good,Town,Professional
3000370,,72.81,1306,78,0,1.7,809.1,25.3,0,52,2,2,Yes,0,0,7,2,3-Good,Suburban,Professional
3000438,,94.92,1656,75,1.49,9.3,197.9,42.7,0.3,52,1,1,Yes,0,0,9,3,5-Low,Rural,Other
3000450,,30.26,25,30,0,0,1.6,0,0,50,1,1,Yes,0,0,6,1,1-Highest,Suburban,Professional
3000470,,125.47,1697,75,24.01,0,187.8,204.3,26.7,54,3,3,Yes,0,0,2,0,3-Good,Town,Other
3000482,,33.85,225,30,0.25,0,156.6,3,0,54,1,1,Yes,0,0,3,0,4-Medium,Other,Other
3000486,,78.58,1356,75,1.49,0,0,0,0,56,2,1,Yes,0,0,9,7,1-Highest,Suburban,Other
3000498,,21.55,14,20,0,0,2.9,0,0,52,1,1,No,0,0,0,3,2-High,Rural,Other
3000542,,18,14,15,0,0,5.8,0,0.7,56,1,1,Yes,0,0,7,0,2-High,Other,Professional
3000546,,58.82,250,30,3.71,0,22.2,7.7,10,49,1,1,Yes,0,0,8,0,1-Highest,Suburban,Professional
3000566,,157.76,1328,79,3.96,0,280.1,66.3,3,49,3,3,No,0,0,0,0,1-Highest,Other,Other
3000594,,79.28,426,75,4.21,0,130.5,26,4,55,1,1,Yes,0,0,6,3,1-Highest,Town,Other
3000606,,40.68,271,45,0.25,0,40.7,6,0.7,53,1,1,Yes,0,0,7,0,1-Highest,Town,Other
3000610,,79.18,725,75,4.21,1,95.3,67.3,10.7,49,3,3,No,0,0,0,0,1-Highest,Other,Other
3000630,,56.02,557,50,0,0,129.4,36,23,51,2,2,Yes,0,0,9,0,1-Highest,Town,Retired
3000662,,30.24,268,40,0.25,8.3,76,7.3,0.7,53,1,1,Yes,0,0,3,0,3-Good,Suburban,Clerical
3000666,,41.79,147,44,0,0.3,49.8,5,0.3,51,1,1,Yes,0,0,6,0,1-Highest,Other,Other
3000686,,61.5,796,50,0,0,282.3,72.7,18.7,49,2,2,Yes,0,0,7,0,1-Highest,Town,Other
3000698,,17.35,1,17,0.25,0,0,0,0,49,1,1,Yes,0,0,6,0,6-VeryLow,Suburban,Professional
3000702,,109.47,2298,85,4.95,0.3,581.6,28.7,17.7,53,2,1,Yes,0,0,6,1,3-Good,Rural,Other
