Purchasing Group,Purchasing Document,Incoterm,Item,Purchasing Document Item,Acct Assignment Cat.,Item Category,Cost Center,Order,WBS Element,G/L Account,Budget Type,Material Code,Order Quantity,Order Unit,Net price,Net Order Value,Still todelivered (qty),Still todelivered (value),Still toinvoiced (qty),Currency,Validity Per. Start,Validity Period End,Document Date,Vendor/supplying plant,Purchasing Doc. Type,Plant,Release indicator,Release Strategy,Release status,Deletion Indicator,No. of Positions,Outline Agreement,Principal Agmt Item,Collective Number,Req. Tracking Number,Puhase Requisition,Item of Requisition,Requesitioner
907,3100076937,LOCAL,20,310007693700020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700049449,1,PC,1250,1250,0,0,0,THB,2015.02.09,2015.03.09,2015.02.09,104744,O100,1102,R,01,X,,1,5100000320,1430,,4739875,,0,940
907,3100076711,LOCAL,30,310007671100030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700049431,1,SET,1200,1200,0,0,0,THB,2015.02.03,2015.03.03,2015.02.03,104744,O100,1102,R,01,X,,1,5100000320,390,,4731004,,0,940
907,3100077579,LOCAL,10,310007757900010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700031109,48,PC,50,2400,0,0,0,THB,2015.02.27,2015.03.27,2015.02.27,101770,O100,1102,R,01,X,,1,5100000341,300,,4710466,,0,940
907,3100077579,LOCAL,20,310007757900020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700031111,9,PC,9,81,0,0,0,THB,2015.02.27,2015.03.27,2015.02.27,101770,O100,1102,R,01,X,,1,5100000341,310,,4710466,,0,940
907,3100077512,LOCAL,10,310007751200010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700126995,20,PC,6,120,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,101770,O100,1102,R,01,X,,1,5100000341,2730,,4695298,,0,940
907,3100077512,LOCAL,20,310007751200020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700127281,20,PC,14,280,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,101770,O100,1102,R,01,X,,1,5100000341,2750,,4695298,,0,940
907,3100076749,LOCAL,10,310007674900010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700035049,10,PC,31,310,0,0,0,THB,2015.02.04,2015.03.04,2015.02.04,101973,O100,1102,R,01,X,,1,5100000328,210,,4730684,,0,940
907,3100077579,LOCAL,30,310007757900030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700031112,35,PC,24,840,0,0,0,THB,2015.02.27,2015.03.27,2015.02.27,101770,O100,1102,R,01,X,,1,5100000341,320,,4710466,,0,940
907,3100077579,LOCAL,40,310007757900040,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700117287,15,PC,31,465,0,0,0,THB,2015.02.27,2015.03.27,2015.02.27,101770,O100,1102,R,01,X,,1,5100000341,2350,,4710466,,0,940
907,3100077023,LOCAL,20,310007702300020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700032424,33,PC,66.4,2191.2,0,0,0,THB,2015.02.11,2015.02.25,2015.02.11,101973,O100,1102,R,01,X,,1,5100000339,50,,MIN/MAX,,0,940
907,3100077508,LOCAL,10,310007750800010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700032424,29,PC,66.4,1925.6,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,101973,O100,1102,R,01,X,,1,5100000339,50,,4751489,,0,940
