Restaurant ID,Country Code,City,"Restaurant Name,Address",Locality,Locality Verbose,Longitude,Latitude,Cuisines,Restaurant_Name,Address,Locality_1,3,4,5,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating text,Votes,Country,Continent
18395463,189,Cape Town,"The Butcher's Wife,15 Belgravia Road, Athlone, Cape Town",Athlone,"Athlone, Cape Town",18.51440571,-33.96466043,"Pizza, Grill",The Butcher's Wife,15 Belgravia Road, Athlone, Cape Town,,,294,Rand(R),No,No,3,3.7,Good,22,South Africa,Africa
18337845,189,Cape Town,"Coco Safar,Ground Floor, Cavendish Square, Claremont, Cape Town","Cavendish Square, Claremont","Cavendish Square, Claremont, Cape Town",18.46489381,-33.97975702,"Cafe, Patisserie",Coco Safar,Ground Floor, Cavendish Square, Claremont, Cape Town,,300,Rand(R),No,No,4,4.1,Very Good,88,South Africa,Africa
6401732,189,Cape Town,"La Parada,107 Bree Street, CBD, Cape Town",CBD,"CBD, Cape Town",18.41789313,-33.92154333,"Spanish, Tapas",La Parada,107 Bree Street, CBD, Cape Town,,,360,Rand(R),No,No,4,3.7,Good,255,South Africa,Africa
6401060,189,Cape Town,"Jason Bakery,185 Bree Street, CBD, Cape Town",CBD,"CBD, Cape Town",18.41457088,-33.92451515,"Cafe, Bakery",Jason Bakery,185 Bree Street, CBD, Cape Town,,,180,Rand(R),No,No,2,4.2,Very Good,266,South Africa,Africa
6400421,189,Cape Town,"Truth Coffee,36 Buitenkant Street, CBD, Cape Town",CBD,"CBD, Cape Town",18.42286024,-33.92849643,Cafe,Truth Coffee,36 Buitenkant Street, CBD, Cape Town,,,150,Rand(R),No,No,2,4.4,Very Good,514,South Africa,Africa
6402177,189,Cape Town,"Salushi,25 Protea Road, Claremont, Cape Town",Claremont,"Claremont, Cape Town",18.462423,-33.978602,"Japanese, Sushi, Asian",Salushi,25 Protea Road, Claremont, Cape Town,,,250,Rand(R),No,No,3,3.9,Good,239,South Africa,Africa
6401198,189,Cape Town,"Origin Coffee Roasting,28 Hudson Street, De Waterkant, Cape Town",De Waterkant,"De Waterkant, Cape Town",18.41766667,-33.91733333,"Cafe, Bakery, Tea, Vegetarian",Origin Coffee Roasting,28 Hudson Street, De Waterkant, Cape Town,,,200,Rand(R),No,No,3,4,Very Good,185,South Africa,Africa
6401054,189,Cape Town,"Kloof Street House,30 Kloof Street, Gardens, Cape Town",Gardens,"Gardens, Cape Town",18.4125,-33.9285,Mediterranean,Kloof Street House,30 Kloof Street, Gardens, Cape Town,,,350,Rand(R),No,No,4,4.5,Excellent,356,South Africa,Africa
6403291,189,Cape Town,"Jerry's Burger Bar,5 Park Road, Kloof Street, Gardens, Cape Town",Gardens,"Gardens, Cape Town",18.410769,-33.929022,"Burger, American",Jerry's Burger Bar,5 Park Road, Kloof Street, Gardens, Cape Town,,250,Rand(R),No,No,3,4.4,Very Good,281,South Africa,Africa
6403499,189,Cape Town,"Active Sushi,32 Hudson Street, Mirage Building, Green Point, Cape Town",Green Point,"Green Point, Cape Town",18.417566,-33.917258,Sushi,Active Sushi,32 Hudson Street, Mirage Building, Green Point, Cape Town,,250,Rand(R),No,No,3,3.8,Good,127,South Africa,Africa
6400191,189,Cape Town,"Beluga,The Foundry, Prestwich Street, Green Point, Cape Town",Green Point,"Green Point, Cape Town",18.418015,-33.912585,"Seafood, Asian, Grill, Sushi",Beluga,The Foundry, Prestwich Street, Green Point, Cape Town,,500,Rand(R),No,No,4,3.8,Good,619,South Africa,Africa
6404082,189,Cape Town,"Rocomamas,107a Main Road, Green Point, Cape Town",Green Point,"Green Point, Cape Town",18.409153,-33.907776,"Burger, Fast Food, Grill",Rocomamas,107a Main Road, Green Point, Cape Town,,,250,Rand(R),No,No,3,3.6,Good,131,South Africa,Africa
6401485,189,Cape Town,"The Creamery,Newlands Quarter, Dean Street, Newlands, Cape Town",Newlands,"Newlands, Cape Town",18.46195,-33.970286,"Desserts, Ice Cream",The Creamery,Newlands Quarter, Dean Street, Newlands, Cape Town,,110,Rand(R),No,No,2,4.5,Excellent,328,South Africa,Africa
6400621,189,Cape Town,"Nobu - One&Only,One & Only Hotel, Dock Road, V & A Waterfront, Cape Town","One and Only Hotel, V & A Waterfront","One and Only Hotel, V & A Waterfront, Cape Town",18.416435,-33.908603,"Japanese, Asian, Seafood, Sushi",Nobu - One&Only,One & Only Hotel, Dock Road, V & A Waterfront, Cape Town,,535,Rand(R),Yes,No,4,4,Very Good,110,South Africa,Africa
6403544,189,Cape Town,"Jarryds,90 Regent Road, Sea Point, Cape Town",Sea Point,"Sea Point, Cape Town",18.381997,-33.921453,"Cafe, Burger",Jarryds,90 Regent Road, Sea Point, Cape Town,,,230,Rand(R),No,No,3,4.8,Excellent,319,South Africa,Africa
6403452,189,Cape Town,"My Sugar,77 Regent Road, Sea Point, Cape Town",Sea Point,"Sea Point, Cape Town",18.382759,-33.921692,"Cafe, Patisserie, Bakery, Desserts",My Sugar,77 Regent Road, Sea Point, Cape Town,,,125,Rand(R),No,No,2,4.4,Very Good,157,South Africa,Africa
6402163,189,Cape Town,"Grand Cafi & Beach,Granger Bay Road, Granger Bay, V & A Waterfront, Cape Town",V & A Waterfront,"V & A Waterfront, Cape Town",18.415163,-33.901746,"Seafood, African, Sushi",Grand Cafi & Beach,Granger Bay Road, Granger Bay, V & A Waterfront, Cape Town,,450,Rand(R),No,No,4,3.8,Good,280,South Africa,Africa
6401789,189,Cape Town,"tashas,Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",V & A Waterfront,"V & A Waterfront, Cape Town",18.421341,-33.902336,"Cafe, Mediterranean",tashas,Ground Level, Victoria Wharf, V & A Waterfront, Cape Town,,320,Rand(R),No,No,4,4.1,Very Good,374,South Africa,Africa
6400235,189,Cape Town,"Gibson's Gourmet Burgers & Ribs,Shop 157, Lower Level, Victoria Wharf, V & A Waterfront, Cape Town","Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",18.42030041,-33.9042665,"Burger, American, Grill",Gibson's Gourmet Burgers & Ribs,Shop 157, Lower Level, Victoria Wharf, V & A Waterfront, Cape Town,270,Rand(R),No,No,3,4.1,Very Good,298,South Africa,Africa
6400217,189,Cape Town,"Willoughby & Co.,Ground Level, Victoria Wharf, V & A Waterfront, Cape Town","Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",18.421,-33.90416667,"Seafood, Japanese, Sushi",Willoughby & Co.,Ground Level, Victoria Wharf, V & A Waterfront, Cape Town,,570,Rand(R),No,No,4,4.4,Very Good,466,South Africa,Africa
6501534,189,Inner City,"Cube - Tasting Kitchen,24 Albrecht Road, Maboneng Precinct, City and Suburban, Inner City",City and Suburban,"City and Suburban, Inner City",28.060192,-26.203278,"European, Contemporary",Cube - Tasting Kitchen,24 Albrecht Road, Maboneng Precinct, City and Suburban, Inner City,,1540,Rand(R),No,No,4,4.9,Excellent,441,South Africa,Africa
18339373,189,Inner City,"Urbanologi,1 Fox Street, Marshalltown, Inner City, Johannesburg",Marshalltown,"Marshalltown, Inner City",28.031863,-26.207091,Tapas,Urbanologi,1 Fox Street, Marshalltown, Inner City, Johannesburg,,700,Rand(R),No,No,4,4.9,Excellent,194,South Africa,Africa
6517396,189,Johannesburg,"Momo Baohaus,139 Greenway, Greenside, Johannesburg",Greenside,"Greenside, Johannesburg",28.011059,-26.14658,"Asian, Sushi, Tapas",Momo Baohaus,139 Greenway, Greenside, Johannesburg,,,300,Rand(R),No,No,4,4.3,Very Good,180,South Africa,Africa
6502688,189,Johannesburg,"Craft,33, 4th Avenue corner of 13th street, Parkhurst, Johannesburg",Parkhurst,"Parkhurst, Johannesburg",28.017548,-26.138396,"European, Pizza",Craft,33, 4th Avenue corner of 13th street, Parkhurst, Johannesburg,,350,Rand(R),No,No,4,4.1,Very Good,1207,South Africa,Africa
6515130,189,Johannesburg,"Hudsons,Corner 4th Avenue & 14th Street, Parkhurst, Johannesburg",Parkhurst,"Parkhurst, Johannesburg",28.018022,-26.137391,"Burger, Finger Food, Pizza",Hudsons,Corner 4th Avenue & 14th Street, Parkhurst, Johannesburg,,,350,Rand(R),No,No,4,4,Very Good,861,South Africa,Africa
6502341,189,Johannesburg,"The Wolfpack,21, 4th Avenue, Parkhurst, Johannesburg",Parkhurst,"Parkhurst, Johannesburg",28.017146,-26.140464,"American, Burger",The Wolfpack,21, 4th Avenue, Parkhurst, Johannesburg,,350,Rand(R),No,No,4,4.1,Very Good,1024,South Africa,Africa
6516766,189,Johannesburg,"The National,19, 4th Avenue, Parktown North, Johannesburg",Parktown North,"Parktown North, Johannesburg",28.025193,-26.1440716,American,The National,19, 4th Avenue, Parktown North, Johannesburg,,515,Rand(R),Yes,No,4,4.2,Very Good,212,South Africa,Africa
18370704,189,Johannesburg,"Marble,Corner Jan Smuts Avenue & Jellicoe Avenue, Rosebank, Johannesburg",Rosebank,"Rosebank, Johannesburg",28.03619944,-26.14338814,"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International",Marble,Corner Jan Smuts Avenue & Jellicoe Avenue, Rosebank, Johannesburg,,,955,Rand(R),No,No,4,4.5,Excellent,222,South Africa,Africa
