Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,CustomerCareCalls,ReceivedCalls,OutboundCalls,InboundCalls,MonthsInService,UniqueSubs,ActiveSubs,RetentionCalls,RetentionOffersAccepted,IncomeGroup,AdjustmentsToCreditRating,CreditRating,PrizmCode,Occupation
1,24,219,22,0.25,0,97.2,0,0,26,2,1,0,0,4,0,1,2,5
1,16.99,10,17,0,0,0,0,0,26,1,1,0,0,5,0,4,2,5
0,38,8,38,0,0,0.4,0.3,0,26,1,1,0,0,6,0,3,1,2
0,82.28,1312,75,1.24,4.3,200.3,41,12,26,2,2,0,0,6,0,4,4,4
1,17.14,0,17,0,0,0,0,0,26,2,2,0,0,7,0,1,4,5
0,38.05,682,52,0.25,0.7,42.2,6.7,0,26,1,1,0,0,1,0,3,4,4
0,31.66,26,30,0.25,0,0,0,0,26,2,2,0,0,7,0,1,4,5
0,62.13,98,66,1.24,4,0,3.7,0,26,2,2,0,0,6,0,1,4,5
0,35.3,24,35,0,0,2.4,4,1.7,26,2,2,0,0,7,0,1,4,4
0,81,1056,75,0,0,0,0,0,26,1,1,0,0,5,0,3,4,5
0,25.23,2,25,0,0,1.1,0.3,0,26,2,2,0,0,7,0,1,4,4
0,212.51,1972,85,1.24,0.3,718.1,41,4.7,26,2,1,0,0,3,0,4,2,4
0,42.56,270,37,0.25,1,57.1,11,3.7,26,2,2,0,0,1,0,3,2,4
0,63.02,440,60,0,3.7,93.9,0,0,26,1,1,0,0,3,0,3,1,4
0,50.97,162,70,0,0.3,38.4,34.3,5.7,26,1,1,0,0,1,0,3,4,4
1,172.44,1978,100,0,0.3,515.2,22.7,2.7,26,2,1,0,0,6,0,1,4,5
0,29.99,47,30,0,0,1,10,1.7,26,2,2,0,0,7,0,1,4,4
0,30.26,34,30,0,0,0.5,0.3,0,26,1,1,0,0,0,0,3,4,4
1,24.49,42,17,0,0,0,0,0,26,2,1,0,0,7,0,1,4,4
0,30,94,30,0,0,19.5,1,0,26,1,1,0,0,3,0,4,3,4
0,35.55,139,35,0.25,0,72.5,3.7,0.3,26,1,1,0,0,5,0,1,2,5
0,21.15,46,17,0,0,2.3,0,0.3,26,1,1,0,0,7,0,1,1,5
0,28.5,66,30,0,0,26,4.3,0,26,2,1,0,0,7,0,1,2,4
0,99.91,1194,75,0.5,2.7,288,41,12,26,1,1,0,0,7,0,1,1,4
0,30,156,30,0,0,13.9,5,4,26,2,2,0,0,7,0,1,1,4
1,33.48,196,30,0,0,74.1,9.7,5.7,26,2,1,0,0,7,0,1,2,5
